,eventid,teamid,shotcoordx,shotcoordy,eventtypeid,quarternum,minutes,seconds,class,quarter,style,event,score,shotevent
118,,29124,1,1,1,3,1,37,"['quarterSet', 'quarter_3']",3,width: 500px;,易建联两罚，第二罚命中,75:66,
291,,29129,1,1,1,1,1,26,"['quarterSet', 'quarter_1']",1,width: 500px;,贺天举两罚，第二罚命中,17:19,
288,,29124,1,1,1,1,1,14,"['quarterSet', 'quarter_1']",1,width: 500px;,布鲁克斯一罚命中,20:19,
220,,29124,1,1,1,2,3,43,"['quarterSet', 'quarter_2']",2,width: 500px;,杜润旺两罚，第二罚命中,38:43,
166,,29129,1,1,1,3,7,33,"['quarterSet', 'quarter_3']",3,width: 500px;,巴斯两罚，第一罚命中,57:52,
85,,29129,1,1,1,4,9,22,"['quarterSet', 'quarter_4']",4,width: 500px;,史蒂芬森一罚命中,85:81,
35,,29124,1,1,1,4,3,58,"['quarterSet', 'quarter_4']",4,width: 500px;,布鲁克斯两罚，第二罚命中,97:89,
36,,29124,1,1,1,4,3,58,"['quarterSet', 'quarter_4']",4,width: 500px;,布鲁克斯两罚，第一罚命中,96:89,
269,,29124,1,1,1,2,10,25,"['quarterSet', 'quarter_2']",2,width: 500px;,易建联两罚，第二罚命中,26:25,
177,,29124,1,1,1,3,9,35,"['quarterSet', 'quarter_3']",3,width: 500px;,曾繁日两罚，第二罚命中,53:51,
296,,29129,1,1,1,1,1,41,"['quarterSet', 'quarter_1']",1,width: 500px;,史蒂芬森两罚，第一罚命中,17:18,
43,,29124,1,1,1,4,4,45,"['quarterSet', 'quarter_4']",4,width: 500px;,王薪凯两罚，第二罚命中,95:87,
77,,29124,1,1,1,4,8,23,"['quarterSet', 'quarter_4']",4,width: 500px;,曾繁日两罚，第二罚命中,88:81,
187,,29129,1,1,1,3,10,58,"['quarterSet', 'quarter_3']",3,width: 500px;,巴斯两罚，第二罚命中,50:49,
48,,29129,1,1,1,4,4,45,"['quarterSet', 'quarter_4']",4,width: 500px;,韩德君两罚，第二罚命中,94:87,
49,,29129,1,1,1,4,4,45,"['quarterSet', 'quarter_4']",4,width: 500px;,韩德君两罚，第一罚命中,94:86,
75,,29129,1,1,1,4,8,11,"['quarterSet', 'quarter_4']",4,width: 500px;,违体犯规罚球，史蒂芬森两罚，第一罚命中,88:82,
