,球员,号码,出场时间,首发,2分中-投,3分中-投,罚球中-投,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,快攻,得分,Game_ID,球队
0,布鲁克斯,6,36,1,8-10(80%),2-10(20%),5-5(100%),0,3,9,3,2,1,0,1,5,0/0,27,2019202000001,广东
1,任骏飞,20,30,1,5-8(63%),3-6(50%),0-0(0%),1,1,1,3,3,0,0,1,1,0/0,19,2019202000001,广东
2,易建联,9,35,1,7-8(88%),0-0(0%),2-4(50%),1,11,2,2,1,1,2,5,3,0/0,16,2019202000001,广东
3,赵睿,10,31,1,5-9(56%),0-3(0%),0-1(0%),2,5,4,3,2,0,0,0,4,0/0,10,2019202000001,广东
4,胡明轩,3,13,1,0-1(0%),1-3(33%),0-0(0%),0,1,0,1,0,1,0,0,0,0/0,3,2019202000001,广东
5,威姆斯,13,31,0,5-9(56%),1-5(20%),1-2(50%),0,7,3,2,1,3,0,0,3,0/0,14,2019202000001,广东
6,杜润旺,18,14,0,2-2(100%),0-2(0%),2-2(100%),2,0,0,4,0,4,0,0,1,0/0,6,2019202000001,广东
7,曾繁日,22,11,0,2-3(67%),0-0(0%),2-4(50%),1,0,0,3,0,0,1,1,3,0/0,6,2019202000001,广东
8,徐杰,2,20,0,0-1(0%),1-3(33%),2-2(100%),0,0,1,2,2,0,0,0,3,0/0,5,2019202000001,广东
9,王薪凯,5,9,0,0-0(0%),0-1(0%),1-2(50%),0,1,1,1,0,0,0,0,0,0/0,1,2019202000001,广东
10,周鹏,11,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东
11,李英博,17,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东
12,刘旭乘,14,0,0,0-0(0%),0-0(0%),0-0(0%),0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东
