球员,号码,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,快攻,得分,Game_ID,球队,对手,2分中,2分投,3分中,3分投,罚球中,罚球投
布鲁克斯,6,36,1,0,3,9,3,2,1,0,1,5,0/0,27,2019202000001,广东,辽宁,8,10,2,10,5,5
任骏飞,20,30,1,1,1,1,3,3,0,0,1,1,0/0,19,2019202000001,广东,辽宁,5,8,3,6,0,0
易建联,9,35,1,1,11,2,2,1,1,2,5,3,0/0,16,2019202000001,广东,辽宁,7,8,0,0,2,4
赵睿,10,31,1,2,5,4,3,2,0,0,0,4,0/0,10,2019202000001,广东,辽宁,5,9,0,3,0,1
胡明轩,3,13,1,0,1,0,1,0,1,0,0,0,0/0,3,2019202000001,广东,辽宁,0,1,1,3,0,0
威姆斯,13,31,0,0,7,3,2,1,3,0,0,3,0/0,14,2019202000001,广东,辽宁,5,9,1,5,1,2
杜润旺,18,14,0,2,0,0,4,0,4,0,0,1,0/0,6,2019202000001,广东,辽宁,2,2,0,2,2,2
曾繁日,22,11,0,1,0,0,3,0,0,1,1,3,0/0,6,2019202000001,广东,辽宁,2,3,0,0,2,4
徐杰,2,20,0,0,0,1,2,2,0,0,0,3,0/0,5,2019202000001,广东,辽宁,0,1,1,3,2,2
王薪凯,5,9,0,0,1,1,1,0,0,0,0,0,0/0,1,2019202000001,广东,辽宁,0,0,0,1,1,2
周鹏,11,0,0,0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东,辽宁,0,0,0,0,0,0
李英博,17,0,0,0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东,辽宁,0,0,0,0,0,0
刘旭乘,14,0,0,0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东,辽宁,0,0,0,0,0,0
万圣伟,51,0,0,0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东,辽宁,0,0,0,0,0,0
苏伟,12,3,0,1,1,0,2,0,1,0,0,0,0/0,0,2019202000001,广东,辽宁,0,0,0,0,0,0
方渭博,1,0,0,0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东,辽宁,0,0,0,0,0,0
刘权标,0,0,0,0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,广东,辽宁,0,0,0,0,0,0
巴斯,30,30,1,3,9,1,2,1,0,2,2,10,0/0,20,2019202000001,辽宁,广东,5,15,0,0,10,11
郭艾伦,13,30,1,0,4,5,4,0,6,0,0,2,0/0,12,2019202000001,辽宁,广东,4,8,0,2,4,4
韩德君,55,24,1,3,6,0,4,0,2,1,0,2,0/0,10,2019202000001,辽宁,广东,4,6,0,0,2,3
刘志轩,11,16,1,1,1,0,3,0,1,0,0,1,0/0,5,2019202000001,辽宁,广东,1,1,1,1,0,0
赵继伟,3,33,1,0,3,1,2,2,0,0,0,2,0/0,4,2019202000001,辽宁,广东,1,2,0,3,2,2
史蒂芬森,1,41,0,1,2,3,2,2,3,0,1,6,0/0,34,2019202000001,辽宁,广东,10,17,3,11,5,7
丛明晨,10,12,0,1,2,0,1,0,0,0,0,0,0/0,6,2019202000001,辽宁,广东,0,0,2,2,0,0
李晓旭,22,28,0,2,2,2,0,1,0,1,0,2,0/0,6,2019202000001,辽宁,广东,3,8,0,0,0,0
贺天举,6,12,0,2,0,0,2,0,1,0,0,1,0/0,1,2019202000001,辽宁,广东,0,0,0,2,1,2
刘雁宇,17,0,0,0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,辽宁,广东,0,0,0,0,0,0
郭旭,15,0,0,0,0,0,0,0,0,0,0,0,0/0,0,2019202000001,辽宁,广东,0,0,0,0,0,0
