轮次,日期,主队,比分,客队,战报,统计,组图,地点,电视,主队_link,比分_link,客队_link,战报_link,统计_link,组图_link,UID
1,2019-11-01\xa019:35,广东,\t\t\t\t\t\t\t\t\t\t\t\t\t\t107:98\t\t\t\t\t\t\t\t\t\t\t\t\t\t,辽宁,战报,统计,组图,东莞,,http://cba.sports.sina.com.cn/cba/team/show/1/,http://cba.sports.sina.com.cn/cba/schedule/show/18381/,http://cba.sports.sina.com.cn/cba/team/show/9/,http://sports.sina.com.cn/basketball/cba/2019-11-01/doc-iicezzrr6602072.shtml,http://cba.sports.sina.com.cn/cba/schedule/show/18381/,http://slide.sports.sina.com.cn/cba/slide_2_792_233270.html,2019202000001
1,2019-11-02\xa019:35,江苏,\t\t\t\t\t\t\t\t\t\t\t\t\t\t96:97\t\t\t\t\t\t\t\t\t\t\t\t\t\t,浙江,战报,统计,组图,苏州,,http://cba.sports.sina.com.cn/cba/team/show/2/,http://cba.sports.sina.com.cn/cba/schedule/show/18382/,http://cba.sports.sina.com.cn/cba/team/show/6/,http://sports.sina.com.cn/basketball/cba/2019-11-02/doc-iicezuev6752945.shtml,http://cba.sports.sina.com.cn/cba/schedule/show/18382/,http://slide.sports.sina.com.cn/cba/slide_2_786_233393.html,2019202000002
1,2019-11-02\xa019:35,四川,\t\t\t\t\t\t\t\t\t\t\t\t\t\t87:134\t\t\t\t\t\t\t\t\t\t\t\t\t\t,新疆,战报,统计,组图,成都,,http://cba.sports.sina.com.cn/cba/team/show/182/,http://cba.sports.sina.com.cn/cba/schedule/show/18383/,http://cba.sports.sina.com.cn/cba/team/show/11/,http://sports.sina.com.cn/basketball/cba/2019-11-02/doc-iicezuev6751102.shtml,http://cba.sports.sina.com.cn/cba/schedule/show/18383/,http://slide.sports.sina.com.cn/cba/slide_2_786_233388.html,2019202000003
1,2019-11-02\xa019:35,山东,\t\t\t\t\t\t\t\t\t\t\t\t\t\t108:95\t\t\t\t\t\t\t\t\t\t\t\t\t\t,八一,战报,统计,组图,济南,,http://cba.sports.sina.com.cn/cba/team/show/15/,http://cba.sports.sina.com.cn/cba/schedule/show/18384/,http://cba.sports.sina.com.cn/cba/team/show/3/,http://sports.sina.com.cn/basketball/cba/2019-11-02/doc-iicezuev6752945.shtml,http://cba.sports.sina.com.cn/cba/schedule/show/18384/,http://slide.sports.sina.com.cn/cba/slide_2_786_233393.html,2019202000004
1,2019-11-02\xa019:35,北控,\t\t\t\t\t\t\t\t\t\t\t\t\t\t108:103\t\t\t\t\t\t\t\t\t\t\t\t\t\t,深圳,战报,统计,组图,北京,,http://cba.sports.sina.com.cn/cba/team/show/369/,http://cba.sports.sina.com.cn/cba/schedule/show/18385/,http://cba.sports.sina.com.cn/cba/team/show/8/,http://sports.sina.com.cn/basketball/cba/2019-11-02/doc-iicezuev6752945.shtml,http://cba.sports.sina.com.cn/cba/schedule/show/18385/,http://slide.sports.sina.com.cn/cba/slide_2_792_233391.html,2019202000005
1,2019-11-02\xa019:35,青岛,\t\t\t\t\t\t\t\t\t\t\t\t\t\t103:105\t\t\t\t\t\t\t\t\t\t\t\t\t\t,吉林,战报,统计,组图,青岛,,http://cba.sports.sina.com.cn/cba/team/show/114/,http://cba.sports.sina.com.cn/cba/schedule/show/18387/,http://cba.sports.sina.com.cn/cba/team/show/12/,http://sports.sina.com.cn/basketball/cba/2019-11-02/doc-iicezuev6752945.shtml,http://cba.sports.sina.com.cn/cba/schedule/show/18387/,http://slide.sports.sina.com.cn/cba/slide_2_786_233393.html,2019202000006
1,2019-11-02\xa019:35,广厦,\t\t\t\t\t\t\t\t\t\t\t\t\t\t93:90\t\t\t\t\t\t\t\t\t\t\t\t\t\t,福建,战报,统计,组图,诸暨,,http://cba.sports.sina.com.cn/cba/team/show/16/,http://cba.sports.sina.com.cn/cba/schedule/show/18388/,http://cba.sports.sina.com.cn/cba/team/show/7/,http://sports.sina.com.cn/basketball/cba/2019-11-02/doc-iicezzrr6792223.shtml,http://cba.sports.sina.com.cn/cba/schedule/show/18388/,http://slide.sports.sina.com.cn/cba/slide_2_786_233385.html,2019202000007
1,2019-11-02\xa020:00,上海,\t\t\t\t\t\t\t\t\t\t\t\t\t\t93:84\t\t\t\t\t\t\t\t\t\t\t\t\t\t,同曦,战报,统计,组图,上海,,http://cba.sports.sina.com.cn/cba/team/show/4/,http://cba.sports.sina.com.cn/cba/schedule/show/18386/,http://cba.sports.sina.com.cn/cba/team/show/368/,http://sports.sina.com.cn/basketball/cba/2019-11-02/doc-iicezuev6752945.shtml,http://cba.sports.sina.com.cn/cba/schedule/show/18386/,http://slide.sports.sina.com.cn/cba/slide_2_786_233393.html,2019202000008
1,2019-11-03\xa019:35,天津,\t\t\t\t\t\t\t\t\t\t\t\t\t\t81:103\t\t\t\t\t\t\t\t\t\t\t\t\t\t,北京,战报,统计,组图,天津,,http://cba.sports.sina.com.cn/cba/team/show/113/,http://cba.sports.sina.com.cn/cba/schedule/show/18389/,http://cba.sports.sina.com.cn/cba/team/show/10/,http://sports.sina.com.cn/basketball/cba/2019-11-03/doc-iicezuev6927306.shtml,http://cba.sports.sina.com.cn/cba/schedule/show/18389/,http://slide.sports.sina.com.cn/cba/slide_2_792_233493.html,2019202000009
1,2019-11-03\xa019:35,广州,\t\t\t\t\t\t\t\t\t\t\t\t\t\t96:123\t\t\t\t\t\t\t\t\t\t\t\t\t\t,山西,战报,统计,组图,广州,,http://cba.sports.sina.com.cn/cba/team/show/13/,http://cba.sports.sina.com.cn/cba/schedule/show/18390/,http://cba.sports.sina.com.cn/cba/team/show/14/,http://sports.sina.com.cn/basketball/cba/2019-11-03/doc-iicezuev6925002.shtml,http://cba.sports.sina.com.cn/cba/schedule/show/18390/,http://slide.sports.sina.com.cn/cba/slide_2_786_233497.html,2019202000010
