G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,30:47,3,7,0.429,2,4,0.5,0,0,,0,0,0,7,2,0,0,2,8,10.4,16
2,28:47,2,4,0.5,1,3,0.333,0,0,,0,2,2,4,1,1,1,6,5,4.7,-18
3,19:22,7,10,0.7,1,2,0.5,4,7,0.571,2,6,8,3,2,0,0,0,19,20.9,12
4,20:13,5,9,0.556,2,5,0.4,0,0,,3,2,5,2,0,0,1,2,12,10,-8
5,15:20,4,6,0.667,1,1,1,0,1,0,1,1,2,2,1,0,0,0,9,9.4,15
6,26:58,2,4,0.5,1,2,0.5,2,2,1,1,1,2,4,0,0,0,1,7,8.4,8
7,16:56,2,4,0.5,1,1,1,2,2,1,0,1,1,1,0,0,1,1,7,4.6,7
8,24:09,9,14,0.643,6,7,0.857,0,0,,2,1,3,0,1,0,0,2,24,19.7,9
9,22:35,0,2,0,0,1,0,2,3,0.667,2,1,3,1,2,0,1,1,2,3.2,-6
10,23:26,3,6,0.5,0,0,,2,2,1,2,3,5,5,0,0,1,3,8,8.6,-5
11,28:44,1,5,0.2,0,2,0,1,1,1,1,1,2,6,1,0,2,2,3,3.3,16
12,18:45,0,5,0,0,4,0,0,0,,1,4,5,4,0,0,1,1,0,-0.2,11
13,26:50,5,9,0.556,4,7,0.571,4,4,1,0,4,4,0,0,0,1,4,18,12.3,17
14,22:59,3,6,0.5,1,3,0.333,2,2,1,0,3,3,4,0,0,1,3,9,7.5,6
15,17:08,2,4,0.5,1,3,0.333,2,2,1,2,2,4,3,1,0,0,4,7,8.5,4
16,16:16,3,5,0.6,2,3,0.667,1,2,0.5,0,2,2,3,1,1,1,0,9,9.7,-7
17,22:17,6,10,0.6,4,6,0.667,2,2,1,1,1,2,4,0,0,0,0,18,17.2,9
18,15:21,4,5,0.8,2,3,0.667,0,0,,0,0,0,4,1,0,0,0,10,11.9,0
19,16:22,5,8,0.625,3,4,0.75,1,1,1,1,1,2,4,1,0,2,0,14,13.2,13
20,14:53,0,2,0,0,0,,3,3,1,1,3,4,3,0,0,2,0,3,3.3,6
21,16:09,2,3,0.667,0,1,0,2,2,1,1,1,2,4,3,0,0,1,6,11.1,8
22,20:47,4,5,0.8,1,2,0.5,1,1,1,1,2,3,1,0,0,3,4,10,5.5,3
23,18:59,5,7,0.714,3,3,1,0,0,,1,2,3,3,3,0,1,1,13,15.1,5
24,28:53,2,5,0.4,1,2,0.5,3,3,1,2,4,6,5,0,0,0,2,8,10.6,5
25,21:41,4,8,0.5,2,4,0.5,1,2,0.5,2,3,5,1,1,0,2,0,11,8.6,13
26,24:08,4,10,0.4,0,4,0,2,2,1,1,1,2,3,2,0,0,2,10,8.9,-1
27,27:16,7,12,0.583,3,5,0.6,4,4,1,1,2,3,1,0,0,1,0,21,16.4,7
28,12:44,4,6,0.667,2,3,0.667,0,0,,0,3,3,2,0,0,1,1,10,8.3,-6
29,21:58,6,10,0.6,3,6,0.5,2,2,1,1,8,9,4,1,0,1,0,17,,
