球员,OffensiveRating,DefensiveRating,NetRating,UsagePercent,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
蒋浩然,156.89911818965774,126.8245107928294,30.07460739682834,15.00352154872457,14,0,3,1,0,2,0,0,0,0,5,6,1,2,0,0,4,6,3
胡明轩,140.73887346436314,115.89628712716355,24.84258633719959,14.349240174951312,591,25,21,39,48,79,25,21,4,0,47,269,52,75,37,76,54,61,26
鲁吐布拉,138.5251521552087,116.2200081270577,22.305144028151005,18.46347370040274,51,0,4,13,0,7,2,1,1,3,7,29,11,16,0,0,7,12,9
胡金秋,131.798850221712,115.654135466317,16.144714755395,18.69694518267447,835,26,83,140,18,57,23,23,31,17,72,427,171,275,8,19,61,79,26
易建联,129.87199216163617,113.74047375121063,16.131518410425542,23.591077233919723,828,26,76,216,33,51,33,30,48,54,147,527,147,268,30,83,143,175,26
摩尔特里,135.05774862088998,120.19588960038404,14.861859020505946,21.05378917971935,55,0,8,13,0,6,1,2,0,3,4,30,14,23,0,0,2,2,2
汉斯布鲁,133.31026968350676,119.1044414549795,14.205828228527267,32.60197423840496,478,4,63,116,17,48,25,25,8,22,131,428,136,242,2,12,150,170,13
杜润旺,132.89348901451825,118.85880411893164,14.034684895586608,13.612824314837896,439,1,22,40,12,82,5,18,5,0,15,178,22,27,39,85,17,23,25
尤度,120.26089170990772,106.6916950178121,13.56919669209563,24.09012866936046,474,0,45,118,32,42,28,26,64,36,53,265,113,179,0,2,39,59,14
约翰逊,132.1727793378653,118.6679093641998,13.504869973665507,27.8110711484361,762,1,126,232,72,93,23,51,41,29,208,584,210,329,0,3,164,243,25
可兰白克,130.14610982036504,119.64164857552834,10.504461244836705,13.85786406077611,646,11,14,48,27,71,9,18,3,0,21,263,22,43,68,143,15,17,25
赖俊豪,131.6427466982378,121.21295419583278,10.429792502405022,10.92296443542632,376,0,28,47,14,82,13,11,14,10,28,108,32,51,6,16,26,32,20
弗格,122.35356564197204,112.19206338720137,10.161502254770667,28.06329474509444,905,25,24,149,162,70,55,79,9,0,217,661,120,219,65,157,226,265,25
