球员,OffensiveRating,DefensiveRating,NetRating,UsagePercent,号码,出场时间,首发,进攻篮板,防守篮板,助攻,犯规,抢断,失误,盖帽,扣篮,被侵,得分,Game_ID,2分中,2分投,3分中,3分投,罚球中,罚球投,出场
蒋浩然,156.90200953402496,127.72134415794699,29.180665376077968,15.018530651359727,504,14,0,3,1,0,2,0,0,0,0,5,6,56537656003909,1,2,0,0,4,6,3
胡明轩,140.24327240996973,114.68521071690228,25.558061693067458,14.496444913611892,87,656,28,24,42,55,86,31,22,5,0,54,300,58556858004245,59,87,41,85,59,67,29
胡金秋,133.1061661855902,115.87191951531533,17.234246670274885,18.594002948513495,588,904,28,95,153,21,62,25,26,33,17,79,466,56537656003899,184,296,9,21,71,89,28
易建联,130.28623734150005,113.26165221419662,17.02458512730344,23.762077962622666,261,909,29,80,238,39,55,36,34,50,65,162,591,58556858004245,168,296,34,94,153,190,29
约翰逊,133.113641625169,118.55053742696104,14.563104198207967,27.552378315629248,1107,829,1,131,255,76,96,26,53,45,35,228,634,54518454003786,225,353,0,3,184,267,27
汉斯布鲁,133.58354917014847,120.17698929154895,13.406559878599523,32.98414146000832,750,546,4,73,134,20,54,25,28,10,24,154,498,30288030003075,157,282,2,14,178,201,15
王薪凯,130.98938393282276,118.2341509453838,12.755232987438959,14.731396820158325,145,281,2,5,24,10,41,5,11,0,0,12,124,58556858004245,7,14,33,67,11,12,25
克拉克,142.8212818887286,130.68802588282398,12.133256005904627,18.694097585125697,42,7,1,0,3,4,1,0,0,0,0,1,4,4038404000545,1,1,0,1,2,2,1
尤度,117.70337600010149,107.83589237193236,9.867483628169126,24.23817771993176,135,510,0,49,126,37,45,30,30,68,37,57,281,30288030002910,117,191,1,4,44,65,15
弗格,122.34964675112782,112.62818459707961,9.721462154048211,27.90134097057051,504,972,27,32,152,169,81,62,87,9,0,236,706,56537656003950,128,232,71,171,237,281,27
杜润旺,128.02444554276966,118.3165262464258,9.70791929634386,13.818324156414254,522,490,1,25,46,12,88,5,20,6,0,15,192,58556858004245,26,34,41,95,17,23,28
孔德高,129.82732182156929,120.43932208896993,9.387999732599354,11.48921228635125,196,22,0,0,3,0,3,1,0,0,0,5,7,56537656003952,2,3,0,0,3,6,3
赖俊豪,128.97884286516143,120.04444777957676,8.934395085584669,11.16005464842019,391,427,0,32,51,15,87,17,13,20,11,31,122,46441646003778,35,57,8,22,28,34,22
布鲁克斯,121.78628903927672,113.19501764605124,8.591271393225483,31.647637360556597,174,885,21,37,140,144,44,53,78,13,15,100,770,58556858004245,194,307,100,227,82,105,27
姜宇星,127.18517348570866,119.05971334573832,8.125460139970343,12.308230880066194,364,955,28,37,71,62,85,53,35,7,2,83,320,56537656003952,107,165,14,24,64,87,28
原帅,129.30614764317752,121.28639929091278,8.019748352264742,15.546160993798173,203,1076,29,10,43,37,49,15,29,1,0,33,460,58556858004237,56,89,103,229,39,44,29
斯托克斯,123.90994410431331,115.97083614598674,7.939107958326574,28.18121585660275,40,558,2,57,156,40,63,20,42,20,15,87,428,40384040002589,160,254,11,32,75,97,18
赵晏满,115.15570272260295,107.41171550695132,7.743987215651629,23.955981078374787,28,18,1,2,3,0,6,2,2,0,2,2,10,56537656003923,4,6,0,0,2,2,3
霍尔曼,127.05213520877177,119.60856605251116,7.443569156260608,21.882526844083536,896,759,2,92,196,27,91,23,47,39,48,75,432,56537656003952,178,284,0,0,76,90,28
周琦,121.09746247942277,113.98456748913459,7.112894990288183,24.20544849594242,243,761,23,76,196,42,75,25,46,58,50,116,482,54518454003815,152,230,31,98,85,134,23
鲁吐布拉,124.20657344498002,117.23635408439218,6.970219360587848,19.114909236869657,624,54,0,4,13,0,8,2,3,1,3,7,29,48460848003773,11,16,0,0,7,12,10
詹姆斯-梅斯,120.30348159303423,113.37086725983157,6.932614333202665,24.082340638680005,1120,773,2,100,176,43,77,46,51,31,19,135,437,56537656003898,158,269,5,21,106,152,28
付磊,132.02613079789202,125.12037872279775,6.90575207509427,12.470489509189044,84,116,0,4,5,5,12,2,3,0,1,4,42,56537656003932,11,15,5,10,5,10,12
韩德君,126.91715919765628,120.66370230789718,6.253456889759093,19.567339687068355,1540,768,23,68,198,43,86,11,44,19,17,104,400,56537656003935,146,233,0,1,108,141,26
任骏飞,120.83128317379436,114.77077322687867,6.060509946915687,15.270440550104286,580,842,28,55,84,52,75,36,38,15,8,72,329,58556858004245,107,169,16,56,67,89,28
可兰白克,126.05108823721949,120.287059001344,5.764029235875483,13.853763085966007,351,704,13,14,53,30,79,9,21,5,0,22,276,54518454003815,24,47,70,152,18,21,27
穆罕默德,130.0588769698932,124.46476627293904,5.5941106969541465,29.52639103031824,180,299,1,21,72,15,24,8,13,5,16,72,235,24230424000734,65,108,13,31,66,87,10
许家晗,122.52101358309078,117.02581584667354,5.495197736417239,10.253003521142238,81,109,1,1,9,10,20,7,2,1,0,7,30,54518454003786,12,16,1,6,3,4,9
汉密尔顿,119.40601746587822,114.41955454779033,4.986462918087895,26.843475181701038,738,631,6,51,134,39,43,20,29,33,23,79,395,36345636002231,145,239,8,42,81,92,18
曾繁日,118.51939376972453,113.70704223712472,4.812351532599806,10.982172408887566,638,261,0,27,44,8,64,10,14,10,5,26,69,58556858004245,29,45,0,0,11,19,27
范子铭,122.52654578771225,118.0372842045739,4.489261583138358,18.651961654503467,459,401,13,44,64,31,59,8,26,12,3,55,197,54518454003815,75,118,0,1,47,70,27
富兰克林,117.56859609685222,113.3209603085418,4.2476357883104185,32.881044902564184,297,1011,26,45,199,260,77,59,101,38,11,285,790,54518454003795,158,277,77,222,243,290,26
王政博,117.61003554400762,113.6885083230098,3.9215272209978167,13.370329509656665,168,16,1,0,0,1,5,2,0,0,0,1,5,56537656003925,0,0,1,4,2,2,1
焦海龙,123.60460608038434,120.35223113278265,3.2523749476016945,15.86174022150233,459,442,7,30,48,10,61,13,16,10,2,22,181,54518454003786,58,95,17,44,14,15,19
巴斯,121.611047186471,118.4926391672015,3.118408019269495,26.37463611621221,840,873,3,58,175,49,52,31,56,20,71,128,595,56537656003935,227,385,1,3,138,175,28
纳纳利,121.09251413386023,118.94139543431332,2.151118699546913,26.918134664317872,252,390,0,17,49,40,17,14,18,1,2,53,268,24230424000710,60,124,31,62,55,65,12
埃里克-米卡,118.11619506171402,116.16117878908088,1.955016272633145,26.505636070853463,84,216,3,40,42,11,22,10,13,4,15,37,139,14134414001226,55,98,0,0,29,51,7
宗赞,114.45346417615232,112.56435774141792,1.8891064347344013,25.528140784093647,364,84,0,7,18,1,14,4,5,3,0,10,51,56537656003950,9,19,9,21,6,8,13
陶汉林,119.60771697011677,117.9158837249733,1.6918332451434708,19.284553961958185,580,854,24,63,131,36,105,22,37,34,63,99,397,58556858004179,159,270,0,1,79,124,29
刘传兴,120.9823474914268,119.73916940351337,1.2431780879134209,19.5469991861942,567,288,16,48,73,6,48,5,19,17,6,41,133,54518454003786,49,87,0,0,35,54,24
苏若禹,115.34482646635611,114.14999319138606,1.1948332749700512,14.995294436191944,140,627,23,48,91,16,89,32,29,9,3,58,224,56537656003899,92,161,0,0,40,54,28
赵义明,118.92818886940746,117.73451159921547,1.1936772701919978,18.90348441493394,140,37,0,8,7,2,8,2,1,1,2,7,14,56537656003965,5,11,0,1,4,5,8
朱俊龙,117.54660826803065,116.38473198750498,1.161876280525675,14.548408220357889,644,353,1,18,22,15,37,11,12,6,2,25,127,56537656003899,26,44,19,48,18,29,25
贺天举,122.8847156519024,122.15091335066977,0.7338023012326289,15.943454326223682,168,368,12,9,41,13,40,4,9,2,1,21,152,56537656003935,19,35,30,76,24,29,25
摩尔特里,122.6608177298601,122.5390283269393,0.12178940292079687,23.95847858787228,20,121,0,25,27,3,12,4,6,1,5,12,67,8076808001051,28,54,0,0,11,17,4
郭凯,119.22084402950821,119.20013371195523,0.02071031755298236,16.004097383007085,392,70,2,6,8,5,10,7,4,5,1,8,26,56537656003909,10,17,0,0,6,7,3
阿不都沙拉木,118.71139964666698,118.70861938612451,0.002780260542465385,19.47901532900778,621,677,20,29,71,51,44,20,27,3,1,59,336,54518454003815,90,151,31,95,63,84,20
赵睿,112.56910025507713,112.73591029814061,-0.16681004306347802,18.633584689763975,290,836,28,36,91,117,82,55,42,7,2,87,368,58556858004245,77,152,50,136,64,82,28
朱旭航,120.30981688268855,120.49204698346227,-0.18223010077372237,18.018872734227777,588,860,28,51,98,27,116,44,34,12,5,97,382,56537656003932,54,103,71,174,61,82,28
王庆明,121.47645913393863,121.74129342321801,-0.2648342892793778,13.157074463072416,864,722,20,15,61,33,80,18,17,5,1,46,245,54518454003786,37,72,48,115,27,34,27
杰伦-雷诺兹,100.54190378660029,100.9354946903289,-0.39359090372860805,27.9990721460399,40,126,0,16,34,11,16,11,10,1,10,10,69,10096010000121,29,64,0,0,11,11,5
普-杰特,128.3286066703228,128.73789148146662,-0.4092848111438059,23.658253764943332,20,384,10,5,50,89,23,17,23,0,0,64,245,20192020002317,37,66,40,86,51,55,10
王少杰,111.14674946546204,112.06526385357567,-0.9185143881136355,15.782414979427942,392,677,28,53,82,8,79,29,31,37,21,69,239,56537656003950,92,170,2,6,49,79,28
兰兹博格,122.1996573186219,123.1923605217705,-0.9927032031485936,32.1052968758399,28,918,11,50,168,77,51,29,49,8,14,199,740,56537656003932,165,319,67,183,209,248,28
于长春,125.12296603636226,126.18891806923308,-1.0659520328708254,16.063698620019142,174,417,1,14,31,10,41,9,12,1,0,22,176,58556858004181,23,34,39,95,13,16,20
张大宇,119.58038158913791,120.86212271113469,-1.2817411219967738,13.52628525636765,672,852,27,58,112,42,96,32,37,32,9,62,283,56537656003932,111,182,8,18,37,48,28
亚当斯,114.84574537378127,116.23153852923616,-1.3857931554548912,39.79610134416733,108,961,26,24,195,162,62,73,107,5,1,209,942,54518454003786,203,351,111,321,203,233,27
朱彦西,116.49238734912548,117.92438966667478,-1.4320023175493048,13.963494918706314,364,593,9,10,49,24,42,16,8,4,0,13,196,56537656003923,13,25,55,134,5,8,20
郑准,130.89930625104964,132.4356742537471,-1.5363680026974578,16.713828816926934,1400,376,8,12,48,15,35,2,11,11,3,10,176,56537656003909,27,39,39,82,5,7,21
哈德森,115.05961719081064,116.65748678065845,-1.5978695898478037,32.93408284377744,0,1049,27,35,182,222,87,53,113,13,1,165,826,58556858004179,132,225,143,357,133,149,28
周仪翔,116.94879373651096,118.54742631001126,-1.5986325735002964,10.783713930322891,756,386,2,7,15,21,33,9,6,1,0,9,96,56537656003923,16,32,17,42,13,13,24
唐才育,116.21228437322755,117.86320673992483,-1.6509223666972872,16.260319939054433,216,411,4,17,19,15,55,15,12,1,0,26,163,54518454003815,32,52,25,79,24,32,26
德兹明-威尔斯,109.27654099231434,111.15735115365179,-1.8808101613374504,33.135614297841045,396,347,9,4,61,40,26,31,33,7,7,67,286,18172818002113,89,171,18,45,54,66,9
泰-劳森,121.4243802484695,123.46466280870851,-2.0402825602390067,29.43323050365641,18,638,6,19,72,133,49,35,47,3,0,157,497,36345636001634,124,228,34,79,147,179,18
王骁辉,113.83622378549671,116.1222906104214,-2.2860668249246885,11.054601099834116,2156,447,12,10,26,13,59,19,8,1,0,9,113,56537656003923,10,20,30,72,3,4,24
刘铮,108.93342790558047,111.24391442109396,-2.310486515513489,17.397008428706734,308,841,27,36,84,89,78,66,33,12,3,90,327,56537656003899,96,199,23,65,66,81,27
俞长栋,115.77712801356508,118.25811362178214,-2.4809856082170683,14.488942058438036,189,541,13,47,71,23,102,13,25,9,2,45,189,54518454003815,61,98,13,41,28,46,27
M.I.托马斯,112.83592069766077,115.42576447469271,-2.5898437770319447,23.55622069707351,12,89,0,9,30,10,9,2,6,3,7,21,47,6057606000058,15,24,2,8,11,18,3
翟晓川,113.6617677043257,116.29875297081675,-2.6369852664910525,19.559858539289316,560,942,26,26,126,72,82,34,50,15,5,106,418,56537656003923,112,175,30,99,104,126,26
埃里克-莫兰德,109.60608143777112,112.33917282872821,-2.7330913909570853,23.85963797532306,78,673,2,96,267,48,75,39,59,47,33,103,347,52499252004179,152,246,0,4,43,97,24
刘洺宇,123.9437255023823,126.73302209455271,-2.789296592170402,13.442811047647924,168,252,0,5,16,20,41,9,6,1,0,16,91,56537656003951,16,29,17,36,8,13,13
任骏威,117.15772565837493,120.03137646923501,-2.8736508108600844,17.924603713146432,290,905,28,36,99,56,55,19,40,7,2,80,386,58556858004237,88,175,47,102,69,87,28
代怀博,120.24431789785378,123.32246626619055,-3.0781483683367696,14.71543252387939,1008,546,5,16,51,15,50,9,19,6,2,17,204,56537656003952,11,29,57,126,11,12,28
赵岩昊,108.84806109280322,112.0803638874494,-3.2323027946461735,19.123154422616405,700,597,17,16,36,40,58,44,27,5,1,65,261,56537656003899,35,78,50,133,41,49,22
黄旭,116.25271563121844,119.54492241217538,-3.2922067809569455,11.587887024076464,476,15,0,0,1,1,1,1,0,0,0,2,4,56537656003924,1,1,0,2,2,2,2
贾森-汤普森,110.1355772255273,113.56825295426961,-3.4326757287423106,19.947546225383324,144,704,1,66,195,33,89,28,42,15,16,82,316,48460848002899,134,235,1,8,45,71,24
刘天意,118.20713368197235,121.67342178713794,-3.4662881051655887,15.802374464772285,28,119,0,7,10,3,21,4,5,0,0,7,45,56537656003952,18,27,0,6,9,9,16
邓蒙,118.02076806938709,121.49687341030977,-3.476105340922686,31.162334532162454,336,1022,17,30,112,185,55,50,73,4,0,190,787,56537656003932,133,275,115,276,176,203,28
侯沛佐,114.81511853577173,118.50955410030096,-3.694435564529229,10.179157152886994,290,264,5,14,30,14,29,9,14,3,0,18,63,58556858004179,11,21,10,18,11,14,22
桑尼,112.30363340746004,116.05206075709552,-3.7484273496354774,22.706646356129244,196,765,25,89,163,37,67,25,48,9,3,115,381,56537656003950,138,270,2,24,99,116,25
拉杜利察,117.62517979519333,122.38336199939351,-4.758182204200182,32.046688293795924,364,866,14,69,192,72,105,33,79,24,29,219,693,56537656003909,214,363,28,71,181,226,28
陈培东,113.00234548968314,118.0534205477584,-5.05107505807527,17.539761065661487,1276,499,12,13,36,44,42,22,27,0,0,25,209,58556858004179,50,77,31,79,16,22,27
雅克查理,116.54961824948296,121.83791285139029,-5.2882946019073245,20.212841906850244,1056,373,11,11,46,35,21,17,8,2,0,33,177,24230424001046,34,63,29,78,22,31,11
康宁汉姆,117.88968316614876,123.27699316675034,-5.3873100006015875,21.604109308666917,429,378,0,31,73,20,43,14,17,18,6,24,191,26249626002813,72,130,9,23,20,23,13
宁鸿宇,117.76265021586522,123.35884016837916,-5.596189952513939,19.298342816412216,448,306,5,15,25,6,38,8,18,8,2,28,146,56537656003948,22,51,23,47,33,37,24
王汝恒,109.04039890566604,114.68304068951704,-5.642641783851005,15.980529189612636,600,663,10,5,33,65,59,43,29,1,0,60,236,50480050004092,38,73,38,107,46,54,21
