球队,场均净胜分MOV,Pace,OffensiveRating,DefensiveRating,NetRating
广东,17.17241379310345,97.36610601498315,127.49980255064375,109.3946124536319,18.105190097011857
新疆,10.25925925925926,95.6921588796788,123.42713370117141,112.594017086715,10.833116614456415
青岛,6.481481481481482,95.73959545597982,121.58255957115291,114.66097599114258,6.921583580010335
山东,5.551724137931035,91.62284497091821,118.79946828181748,112.60758922925271,6.191879052564772
浙江,5.642857142857143,92.68463390270966,123.54803158334131,117.37063000417425,6.177401579167068
山西,4.689655172413793,91.10067552277584,118.04398494965412,112.78899904027509,5.25498590937903
辽宁,4.642857142857143,94.98893006690682,118.56782524375208,113.58437316431859,4.983452079433491
广厦,3.75,94.29125138331553,113.76420435304703,109.70809519954281,4.056109153504224
吉林,2.9285714285714284,92.49293672740434,118.75544788950964,115.52132410108726,3.23412378842238
北控,2.5714285714285716,93.03269783306747,113.44608140114036,110.63820314026648,2.8078782608738777
北京,1.7857142857142858,88.47948620920147,111.92185650318942,109.85535250571547,2.0665039974739443
福建,-1.1785714285714286,94.8858744956278,119.87806392966934,121.14235798837151,-1.264294058702177
深圳,-3.2857142857142856,92.13243272306735,110.21991493334271,113.8648582021664,-3.6449432688236953
同曦,-3.6551724137931036,92.91423496078869,115.74635447237927,119.77165420140557,-4.025299729026301
江苏,-4.964285714285714,95.01690873670586,111.29836496161884,116.6019209196802,-5.303555958061352
上海,-7.571428571428571,92.96604408869419,108.85505729556444,117.15623432673698,-8.301177031172543
广州,-7.714285714285714,91.72828168043745,115.9654297619181,124.48823780158274,-8.522808039664639
四川,-9.107142857142858,93.3045558570353,109.69768864587874,119.64184456649696,-9.944155920618215
天津,-13.928571428571429,91.41164570532138,107.43858876627128,122.85472181220425,-15.416133045932966
八一,-14.321428571428571,92.7723584408036,104.29072998762949,120.0899678890422,-15.79923790141271
