球队,场均净胜分MOV,Pace,OffensiveRating,DefensiveRating,NetRating
广东,16.8,97.4,127.5,109.8,17.7
新疆,11.7,95.5,125.1,112.7,12.4
山东,7.2,91.5,119.7,111.7,8.0
青岛,5.8,96.0,121.2,115.0,6.2
浙江,5.2,92.5,123.8,118.1,5.7
山西,4.7,90.5,118.6,113.3,5.3
吉林,3.6,92.4,119.2,115.2,4.0
辽宁,3.6,94.8,118.3,114.4,3.9
北控,3.3,93.2,112.7,109.1,3.6
广厦,2.8,93.3,113.7,110.6,3.1
北京,2.5,88.6,112.9,110.0,2.9
福建,-1.3,95.6,119.1,120.5,-1.4
深圳,-2.6,92.3,110.5,113.4,-2.8
同曦,-2.8,92.4,117.3,120.4,-3.1
江苏,-4.3,95.0,111.6,116.2,-4.6
上海,-7.0,93.4,108.8,116.5,-7.7
广州,-8.0,91.9,115.6,124.4,-8.8
四川,-10.2,93.3,108.7,119.9,-11.2
八一,-14.8,92.6,103.6,119.9,-16.4
天津,-15.6,91.5,106.4,123.6,-17.3
